都道府県,ID,遺跡群名,遺跡名,地点地区名,文化層石器文化,Latitude,Longitude,時期区分
東京都,130399,,赤羽台遺跡,国立王子病院跡地地区,第4文化層,35.78361111,139.7113889,0
東京都,130400,,赤羽台遺跡,国立王子病院跡地地区,遺構覆土ほか,35.78361111,139.7113889,1
東京都,130401,,大六天遺跡,財務省赤羽職員住宅,第1遺物集中地点,35.77527778,139.7122222,0
東京都,130402,,大六天遺跡,財務省赤羽職員住宅,第2遺物集中地点,35.77527778,139.7122222,0
東京都,130403,,大六天遺跡,財務省赤羽職員住宅,（グリッド出土）,35.77527778,139.7122222,2
東京都,130404,十条台遺跡群,宿遺跡,第1地点,Ⅳ層,35.75416667,139.7313889,1
東京都,130405,十条台遺跡群,宿遺跡,第11地点,（遺構覆土）,35.75444444,139.7316667,1
東京都,130406,西ヶ原遺跡群,御殿前遺跡,第1地点,Ⅳ層,35.745,139.745,1
東京都,130407,西ヶ原遺跡群,御殿前遺跡,第1地点,Ⅴ層,35.745,139.745,1
東京都,130408,西ヶ原遺跡群,御殿前遺跡,第1地点,Ⅵ層,35.745,139.745,1
東京都,130409,西ヶ原遺跡群,御殿前遺跡,第1地点,Ⅸ層,35.745,139.745,1
東京都,130410,西ヶ原遺跡群,御殿前遺跡,第1地点,遺構覆土等,35.745,139.745,1
東京都,130411,西ヶ原遺跡群,御殿前遺跡,第2地点,Ⅲ～Ⅳ層,35.74666667,139.7438889,1
東京都,130412,西ヶ原遺跡群,西ヶ原貝塚遺跡,（仮）小泉ビル地点,不明,35.74472222,139.7430556,0
東京都,130413,西ヶ原遺跡群,飛鳥山遺跡,第1地点,Ⅴ層,35.74944444,139.7388889,0
東京都,130414,西ヶ原遺跡群,飛鳥山遺跡,第1地点,遺構覆土,35.74944444,139.7388889,1
東京都,130415,西ヶ原遺跡群,,西ヶ原一丁目25番22・28号地点,遺構覆土,35.74361111,139.7466667,0
東京都,130416,,田端町遺跡,中里2-28地点,Ⅲ～Ⅳ層,35.73944444,139.7516667,0
東京都,130417,,十条久保遺跡,,遺構覆土ほか,35.75638889,139.7275,1
東京都,130418,,成増百向遺跡,第2地点,Ⅳ層下部,35.78083333,139.6291667,0
東京都,130419,,成増百向遺跡,第2地点,Ⅸ層,35.78083333,139.6291667,0
東京都,130420,,成増新田原遺跡,,（弥生時代住居跡覆土）,35.77972222,139.6263889,1
東京都,130421,,成増との山遺跡,第1地点,第1文化層,35.78083333,139.6311111,1
東京都,130422,,成増との山遺跡,第1地点,第2文化層,35.78083333,139.6311111,1
東京都,130423,,成増との山遺跡,第1地点,第3文化層,35.78083333,139.6311111,1
東京都,130424,,成増との山遺跡,第2地点,第1文化層,35.78083333,139.6311111,1
東京都,130425,,成増との山遺跡,第2地点,第2文化層,35.78083333,139.6311111,1
東京都,130426,,成増との山遺跡,第2地点,第3文化層,35.78083333,139.6311111,1
東京都,130427,,成増との山遺跡,第2地点,第4文化層,35.78083333,139.6311111,1
東京都,130428,,成増との山遺跡,第2地点,第5文化層,35.78083333,139.6311111,0
東京都,130429,,成増との山遺跡,第2地点,かく乱,35.78083333,139.6311111,2
東京都,130430,,成増との山遺跡,第3地点,Ⅴ層,35.77722222,139.6338889,0
東京都,130431,,菅原神社台地上遺跡,,第Ⅲ層文化,35.78388889,139.6308333,0
東京都,130432,,菅原神社台地上遺跡,,第Ⅴ層文化,35.78388889,139.6308333,1
東京都,130433,,菅原神社台地上遺跡,,第Ⅵ・Ⅶ層文化,35.78388889,139.6308333,1
東京都,130434,,菅原神社台地上遺跡,,遺構外Ⅳ層,35.78388889,139.6308333,0
東京都,130435,,菅原神社台地上遺跡,,遺構外Ⅸ層,35.78388889,139.6308333,0
東京都,130436,,菅原神社台地上遺跡,,遺構外Ⅹ層,35.78388889,139.6308333,0
東京都,130437,,成増天神脇遺跡,,Ⅳ層下部,35.785,139.6313889,1
東京都,130438,,成増天神脇遺跡,,Ⅴ層,35.785,139.6313889,0
東京都,130439,,成増天神脇遺跡,,Ⅶ層,35.785,139.6313889,0
東京都,130440,,成増天神脇遺跡,,Ⅸ層,35.785,139.6313889,0
東京都,130441,,赤塚大塚原遺跡,,第1文化層,35.77138889,139.6502778,1
東京都,130442,,赤塚大塚原遺跡,,第2文化層,35.77138889,139.6502778,0
東京都,130443,,赤塚氷川神社北方遺跡,C地点,第Ⅶ～Ⅸ層,35.7875,139.6386111,0
東京都,130444,,赤塚氷川神社北方遺跡,C地点,第Ⅴ層,35.7875,139.6386111,1
東京都,130445,,赤塚氷川神社北方遺跡,G地点,第Ⅶ層,35.78722222,139.6386111,1
