ID,都道府県,JPRAID,遺跡群名,遺跡名,地点地区名,文化層石器文化,所在地,Latitude,Longitude,時期区分
2550,東京都,131750,多摩ニュータウン遺跡群,多摩ニュータウンNo.3遺跡,,ⅡY～Ⅲ層,東京都稲城市百村,35.63555556,139.4908333,2
2552,東京都,131752,多摩ニュータウン遺跡群,多摩ニュータウンNo.5遺跡,第2次調査区,Ⅴ層上面,東京都稲城市長峰3,35.63194444,139.4811111,2
2557,東京都,131757,多摩ニュータウン遺跡群,多摩ニュータウンNo.27遺跡,第1地点,,東京都多摩市永山1丁目,35.63194444,139.4452778,2
2561,東京都,131761,多摩ニュータウン遺跡群,多摩ニュータウンNo.27遺跡,第2地点,,東京都多摩市永山1丁目,35.63138889,139.445,2
2562,東京都,131762,多摩ニュータウン遺跡群,多摩ニュータウンNo.27遺跡,第2地点,,東京都多摩市永山1丁目,35.63138889,139.445,2
2567,東京都,131767,多摩ニュータウン遺跡群,多摩ニュータウンNo.46遺跡,,,東京都多摩市諏訪6,35.62194444,139.46,2
2573,東京都,131773,多摩ニュータウン遺跡群,多摩ニュータウンNo.72・795遺跡,第1地点,ⅤH層上部上半,東京都八王子市堀之内,35.62916667,139.4,2
2575,東京都,131775,多摩ニュータウン遺跡群,多摩ニュータウンNo.72遺跡,第2地点,,東京都八王子市堀之内,35.63,139.3977778,2
2579,東京都,131779,多摩ニュータウン遺跡群,多摩ニュータウンNo.72・795・796遺跡,草創期,,東京都八王子市堀之内,35.62916667,139.4,2
2585,東京都,131785,多摩ニュータウン遺跡群,多摩ニュータウンNo.105B遺跡,,,東京都八王子市越野・堀之内,35.62888889,139.3947222,2
2612,東京都,131812,多摩ニュータウン遺跡群,多摩ニュータウンNo.145遺跡,,Ⅴ層上部,東京都八王子市南大沢4,35.60611111,139.3775,2
2623,東京都,131823,多摩ニュータウン遺跡群,多摩ニュータウンNo.182遺跡,第2次調査区,,東京都八王子市上柚木2・3,35.61833333,139.3691667,2
2629,東京都,131829,多摩ニュータウン遺跡群,多摩ニュータウンNo.194遺跡,第1地点,縄文包含層,東京都町田市小山町,35.59722222,139.3830556,2
2631,東京都,131831,多摩ニュータウン遺跡群,多摩ニュータウンNo0194遺跡,第2地点,縄文包含層,東京都町田市小山町,35.59861111,139.385,2
2636,東京都,131836,多摩ニュータウン遺跡群,多摩ニュータウンNo.207遺跡,,,東京都八王子市南大沢3・4,35.60361111,139.38,2
2645,東京都,131845,多摩ニュータウン遺跡群,多摩ニュータウンNo.213遺跡,第4地点,単独出土,東京都八王子市上柚木2,35.61888889,139.3658333,2
2652,東京都,131852,多摩ニュータウン遺跡群,多摩ニュータウンNo.227遺跡,,,東京都八王子市鑓水2,35.60861111,139.3586111,2
2653,東京都,131853,多摩ニュータウン遺跡群,多摩ニュータウンNo.231遺跡,,Ⅰ層,東京都八王子市鑓水2,35.60944444,139.3530556,2
2657,東京都,131857,多摩ニュータウン遺跡群,多摩ニュータウンNo.243・244遺跡,,ソフトローム,東京都町田市小山町,35.60222222,139.3658333,2
2664,東京都,131864,多摩ニュータウン遺跡群,多摩ニュータウンNo.405遺跡,,,東京都八王子市松木9,35.62555556,139.3883333,2
2666,東京都,131866,多摩ニュータウン遺跡群,多摩ニュータウンNo.287・288・289遺跡,,Ⅴ層,東京都八王子市松木,35.62611111,139.3891667,2
2672,東京都,131872,多摩ニュータウン遺跡群,多摩ニュータウンNo.333・334遺跡,,,東京都八王子市鑓水2・町田市相原町,35.60694444,139.3563889,2
2677,東京都,131877,多摩ニュータウン遺跡群,多摩ニュータウンNo.351遺跡,,,東京都町田市小山町,35.60305556,139.3694444,2
2678,東京都,131878,多摩ニュータウン遺跡群,多摩ニュータウンNo.352・353遺跡,,Ⅲ層,東京都八王子市南大沢5,35.61361111,139.3733333,2
2679,東京都,131879,多摩ニュータウン遺跡群,多摩ニュータウンNo.355遺跡,,ⅤS層中位,東京都八王子市南大沢5,35.61166667,139.3708333,2
2685,東京都,131885,多摩ニュータウン遺跡群,多摩ニュータウンNo.380遺跡,,Ⅲ～Ⅳ層,東京都稲城市若葉台4,35.62916667,139.4663889,2
2698,東京都,131898,多摩ニュータウン遺跡群,多摩ニュータウンNo.393遺跡,,ⅤS層～ⅤH-1層,東京都八王子市松木,35.61916667,139.3897222,2
2699,東京都,131899,多摩ニュータウン遺跡群,多摩ニュータウンNo.394遺跡,,,東京都八王子市南大沢1,35.61805556,139.3830556,2
2704,東京都,131904,多摩ニュータウン遺跡群,多摩ニュータウンNo.401・679遺跡,第1地点,ⅤH①層中位,東京都八王子市松木220-1・3・4/同236他,35.61944444,139.3958333,2
2707,東京都,131907,多摩ニュータウン遺跡群,多摩ニュータウンNo.402遺跡,第2次調査区,,東京都八王子市松木205,35.62222222,139.3919444,2
2708,東京都,131908,多摩ニュータウン遺跡群,多摩ニュータウンNo.402遺跡,第2次調査区,,東京都八王子市松木205,35.62222222,139.3919444,2
2715,東京都,131915,多摩ニュータウン遺跡群,多摩ニュータウンNo.406遺跡,,Ⅲ層下部,東京都八王子市南大沢5,35.61333333,139.3747222,2
2716,東京都,131916,多摩ニュータウン遺跡群,多摩ニュータウンNo.407遺跡,,,東京都八王子市南大沢1,35.61666667,139.3763889,2
2744,東京都,131944,多摩ニュータウン遺跡群,多摩ニュータウンNo.454遺跡,,,東京都多摩市愛宕4,35.62777778,139.4263889,2
2748,東京都,131948,多摩ニュータウン遺跡群,多摩ニュータウンNo.457遺跡,,Ⅳ層,東京都多摩市鶴牧711-2、722、同高岸2046、2124～2129,35.62361111,139.4186111,2
2757,東京都,131957,多摩ニュータウン遺跡群,多摩ニュータウンNo.490遺跡,,草創期,東京都八王子市上柚木2,35.62055556,139.3716667,2
2764,東京都,131964,多摩ニュータウン遺跡群,多摩ニュータウンNo.500遺跡,,Ⅴ層上部,東京都多摩市馬引沢1,35.635,139.4502778,2
2771,東京都,131971,多摩ニュータウン遺跡群,多摩ニュータウンNo.512遺跡,,,東京都八王子市南大沢1,35.62388889,139.3877778,2
2772,東京都,131972,多摩ニュータウン遺跡群,多摩ニュータウンNo.519遺跡,,Ⅴ層上部,東京都多摩市馬引沢1,35.63638889,139.4513889,2
2777,東京都,131977,多摩ニュータウン遺跡群,多摩ニュータウンNo.604・605遺跡,,表土層,東京都八王子市南大沢1,35.61777778,139.3788889,2
2780,東京都,131980,多摩ニュータウン遺跡群,多摩ニュータウンNo.636遺跡,,暗褐色泥砂層,東京都八王子市下柚木3,35.62277778,139.3802778,2
2787,東京都,131987,多摩ニュータウン遺跡群,多摩ニュータウンNo.699遺跡,,Ⅲ層,東京都八王子市別所2,35.60916667,139.3927778,2
2795,東京都,131995,多摩ニュータウン遺跡群,多摩ニュータウンNo.740遺跡,第1地点,ⅤH層,東京都多摩市唐木田2,35.61333333,139.4091667,2
2800,東京都,132000,多摩ニュータウン遺跡群,多摩ニュータウンNo.753遺跡,,,東京都多摩市鶴牧2丁目,35.61388889,139.4194444,2
2801,東京都,132001,多摩ニュータウン遺跡群,多摩ニュータウンNo.753・754遺跡,,Ⅴ層上面,東京都多摩市鶴牧2,35.61805556,139.4163889,2
2804,東京都,132004,多摩ニュータウン遺跡群,多摩ニュータウンNo.769遺跡,,,東京都多摩市豊ヶ丘1,35.62666667,139.4308333,2
2806,東京都,132006,多摩ニュータウン遺跡群,多摩ニュータウンNo.769遺跡,,,東京都多摩市豊ヶ丘1,35.62666667,139.4308333,2
2812,東京都,132012,多摩ニュータウン遺跡群,多摩ニュータウンNo.782遺跡,,表土,東京都多摩市貝取1,35.62722222,139.4416667,2
2813,東京都,132013,多摩ニュータウン遺跡群,多摩ニュータウンNo.796遺跡,,再堆積土,東京都八王子市堀之内,35.62888889,139.3980556,2
2816,東京都,132016,多摩ニュータウン遺跡群,多摩ニュータウンNo.831遺跡,,Ⅰ層,東京都八王子市鑓水2,35.61472222,139.3619444,2
2817,東京都,132017,多摩ニュータウン遺跡群,多摩ニュータウンNo.836遺跡,,Ⅴ2層,東京都八王子市鑓水2,35.6125,139.3444444,2
2818,東京都,132018,多摩ニュータウン遺跡群,多摩ニュータウンNo.837遺跡,,,東京都八王子市鑓水2・町田市相原町,35.61055556,139.3452778,2
2820,東京都,132020,多摩ニュータウン遺跡群,多摩ニュータウンNo.842遺跡,,,東京都八王子市鑓水2,35.61055556,139.355,2
2821,東京都,132021,多摩ニュータウン遺跡群,多摩ニュータウンNo.860遺跡,,ローム層中（ソフトローム下部～ハードローム上部）,東京都多摩市馬引沢2,35.63361111,139.4527778,2
2822,東京都,132022,多摩ニュータウン遺跡群,多摩ニュータウンNo.860遺跡,,,東京都多摩市連光寺馬引沢1433他,35.63361111,139.4527778,2
2829,東京都,132029,多摩ニュータウン遺跡群,多摩ニュータウンNo.924遺跡,,,東京都町田市小山町,35.60333333,139.3777778,2
2830,東京都,132030,多摩ニュータウン遺跡群,多摩ニュータウンNo.938遺跡,,,東京都町田市小山町,35.60194444,139.3691667,2
2835,東京都,132035,多摩ニュータウン遺跡群,多摩ニュータウンNo.951・952遺跡,,Ⅰ層,東京都町田市小山町,35.60472222,139.3591667,2
2840,東京都,132040,多摩ニュータウン遺跡群,多摩ニュータウンNo.309遺跡,,,東京都八王子市鑓水2,35.61333333,139.3569444,2
2845,東京都,132045,多摩ニュータウン遺跡群,多摩ニュータウンNo.661遺跡,,,東京都八王子市別所1・2,35.61055556,139.39,2
2855,東京都,132055,裏宿遺跡群,,F区,,東京都八王子市元八王子2,35.66222222,139.2772222,2
2857,東京都,132057,小山田遺跡群,,No.12,,東京都町田市下小山田町,35.58916667,139.4072222,2
2859,東京都,132059,,武蔵岡遺跡,尾根地区,ハードローム上面,東京都町田市相原町,35.60833333,139.3033333,2
2860,東京都,132060,,武蔵岡遺跡,尾根地区,縄文包含層,東京都町田市相原町,35.60833333,139.3033333,2
2863,東京都,132063,小山田遺跡群,,No.10,,東京都町田市小山田桜台1・2,35.58944444,139.4016667,2
2864,東京都,132064,小山田遺跡群,,No.28,縄文包含層,東京都町田市小山田桜台1,35.58638889,139.4041667,2
2865,東京都,132065,小山田遺跡群,,No.15,縄文包含層,東京都町田市小山田桜台1,35.58888889,139.4041667,2
2867,東京都,132067,,No.76遺跡,,,東京都西多摩郡瑞穂町箱根ヶ崎,35.78111111,139.3427778,2
2869,東京都,132069,,中久保遺跡,,,東京都武蔵村山市本町1,35.75361111,139.3833333,2
2871,神奈川県,140001,,西原遺跡,,,横浜市緑区長津田字馬の背･西原,35.515,139.4808333,2
2872,神奈川県,140002,,西原遺跡,,相模野第Ⅴ期,横浜市緑区長津田字西原,35.50777778,139.4816667,2
2881,神奈川県,140012,,百崩遺跡,,,横浜市港北区牛久保1412･1685,35.56416667,139.5716667,2
2883,神奈川県,140014,,能見堂遺跡,,,横浜市緑区佐江戸町876他,35.51555556,139.5547222,2
2886,神奈川県,140017,,向原遺跡,,L1S上面,横浜市緑区東方町1746～1750他,35.53472222,139.5777778,2
2889,神奈川県,140021,霧ヶ丘遺跡群,霧ヶ丘遺跡,第１地区,,横浜市緑区十日市場町霧ケ丘,35.52305556,139.4972222,2
2899,神奈川県,140031,,七ッ塚遺跡,,,横浜市港北区新吉田5980～5986他,35.54083333,139.5983333,2
2929,神奈川県,140062,,本郷（相模野No.122）遺跡,,ローム層,横浜市瀬谷区本郷,35.47888889,139.4797222,2
2932,神奈川県,140065,,稲ヶ原遺跡,Ａ地点,,横浜市緑区さつきが丘８－３他,35.52222222,139.5188889,2
