"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13227000100,13227,"1","しょうじんばけいせき","精進バケ遺跡","羽村市 羽西一丁目 羽西二丁目",139.299062,35.76848948,0,1,0,0,0,0,0,0,0
13227000200,13227,"2","はやしのうえいせき","林の上遺跡","羽村市 羽加美四丁目 羽中二丁目",139.3045895,35.76436658,0,1,0,0,0,0,0,0,0
13227000300,13227,"3","ねがらみまえいせき","根搦前遺跡","羽村市 羽加美二丁目 羽加美四丁目",139.3008473,35.76046634,0,0,0,1,0,0,0,0,0
13227000500,13227,"5","やまねさかうえいせき","山根坂上遺跡","羽村市 羽東二丁目",139.3131593,35.7576718,0,1,0,0,0,0,0,0,0
13227000600,13227,"6","はけたうえいせき","羽ケ田上遺跡","羽村市 羽東一丁目 羽東三丁目",139.3152879,35.7541613,0,1,0,0,0,0,0,0,0
13227000700,13227,"7","かじいせき","鍛冶遺跡","羽村市 五ノ神一丁目",139.3179658,35.75912053,0,0,0,0,0,0,1,1,0
13227000800,13227,"8","","羽村市№8遺跡","羽村市 川崎二丁目",139.3188109,35.75217143,0,1,0,0,0,0,0,0,0
13227000900,13227,"9","","羽村市№9遺跡","羽村市 川崎二丁目",139.3204245,35.75052753,0,1,0,1,1,1,0,0,0
13227001000,13227,"10","てんのうだいいせき","天王台遺跡","羽村市 羽東",139.3100007,35.76104285,0,1,0,0,0,0,0,0,0
13227001100,13227,"11","はけしたいせき","羽ヶ下遺跡","羽村市 羽中一丁目",139.3091424,35.76388445,0,1,0,0,0,0,0,0,0
13228000100,13228,"1","たけのしろいせき","竹の後遺跡","あきる野市 乙津",139.1797183,35.72689206,0,1,0,0,0,0,0,0,0
13228000200,13228,"2","てらおかいせき","寺岡遺跡","あきる野市 養沢",139.1821902,35.73051524,0,1,0,0,0,0,0,0,0
13228000300,13228,"3","ぐんどういせき","軍道遺跡","あきる野市 乙津",139.1847995,35.73475137,0,1,0,0,0,1,0,0,0
13228000400,13228,"4","うさだけはらいせき","宇佐岳原遺跡","あきる野市 乙津",139.1892283,35.73154642,0,1,0,0,0,0,0,0,0
13228000500,13228,"5","かもっぱらいせき","加茂原遺跡","あきる野市 乙津",139.1912539,35.73034802,0,1,0,0,0,0,0,0,0
13228000600,13228,"6","とくらじょうあと","戸倉城跡","あきる野市 戸倉",139.1972621,35.72591656,0,0,0,0,0,0,1,0,0
